path,module,backend,lines,layout,styleBlocks,inlineStyles,important,hexColors,tables,modals,responsive,plugins,references,referencedBy,legacyAttributeCandidate
"resources/views/backend/adminPage/partials/team-profiletest.blade.php","adminPage","true","82","","0","0","0","0","1","0","true","","0","","false"
"resources/views/backend/adminPage/partials/team_players_table.blade.php","adminPage","true","67","","0","0","0","0","1","0","false","","1","app/Http/Controllers/Backend/TeamController.php","false"
"resources/views/backend/adminPage/pdf/transactions.blade.php","adminPage","true","109","","1","4","0","3","1","0","false","","1","app/Http/Controllers/Backend/EventController.php","false"
"resources/views/backend/adminPage/show.blade.php","adminPage","true","127","layouts/layoutMaster","0","0","0","0","0","0","false","datatable;select2;toastr;flatpickr;sortable","1","app/Http/Controllers/Backend/EventAdminController.php","false"
"resources/views/backend/adminPage/show2.blade.php","adminPage","true","110","layouts/layoutMaster","0","0","0","0","0","0","false","datatable;select2;toastr;flatpickr;sortable","0","","false"
"resources/views/backend/adminPage/_includes/participation_type.blade.php","adminPage","true","52","","0","0","0","0","0","0","true","","3","resources/views/backend/adminPage/admin_show/individual_show.blade.php;resources/views/backend/adminPage/admin_show/overbergTrialsAdmin.blade.php;resources/views/backend/adminPage/admin_show/tabs/results.blade.php","false"
"resources/views/backend/adminPage/_includes/position_type.blade.php","adminPage","true","59","","0","0","0","0","0","0","true","sortable","3","resources/views/backend/adminPage/admin_show/individual_show.blade.php;resources/views/backend/adminPage/admin_show/overbergTrialsAdmin.blade.php;resources/views/backend/adminPage/admin_show/tabs/results.blade.php","false"
"resources/views/backend/adminPage/_includes/team_type.blade.php","adminPage","true","110","","0","5","0","0","1","0","true","","0","","true"
"resources/views/backend/adminPage/_includes/transactions_table.blade.php","adminPage","true","1","","0","0","0","0","0","0","false","","1","resources/views/backend/adminPage/admin_show/tabs/transactions.blade.php","false"
"resources/views/backend/agreements/create.blade.php","agreements","true","58","layouts/layoutMaster","0","0","0","0","0","0","false","","4","app/Http/Controllers/Backend/AgreementController.php;routes/web.php;resources/views/backend/agreements/index.blade.php;resources/views/backend/superadmin/index.blade.php","false"
"resources/views/backend/agreements/edit.blade.php","agreements","true","59","layouts/layoutMaster","0","0","0","0","0","0","false","","4","app/Http/Controllers/Backend/AgreementController.php;routes/web.php;resources/views/backend/agreements/index.blade.php;resources/views/backend/superadmin/index.blade.php","false"
"resources/views/backend/agreements/index.blade.php","agreements","true","101","layouts/layoutMaster","0","2","0","0","1","0","true","","5","app/Http/Controllers/Backend/AgreementController.php;routes/web.php;resources/views/backend/agreements/create.blade.php;resources/views/backend/agreements/edit.blade.php;resources/views/backend/agreements/show.blade.php","false"
"resources/views/backend/agreements/show.blade.php","agreements","true","86","layouts/layoutMaster","0","1","0","1","1","0","true","","4","app/Http/Controllers/Backend/AgreementController.php;routes/web.php;resources/views/backend/agreements/index.blade.php;resources/views/backend/superadmin/index.blade.php","false"
"resources/views/backend/categoryEvent/manage.blade.php","categoryEvent","true","192","layouts/layoutMaster","1","0","0","6","0","0","true","select2","1","app/Http/Controllers/Backend/CategoryEventController.php","false"
"resources/views/backend/clothing/clothing-index.blade.php","clothing","true","96","layouts/layoutMaster","0","0","0","0","1","0","true","","2","app/Http/Controllers/Backend/ClothingOrderController.php;app/Http/Controllers/Backend/RegionClothingController.php","false"
"resources/views/backend/clothing/clothing-order-pdf.blade.php","clothing","true","54","","1","0","0","2","1","0","false","","0","","false"
"resources/views/backend/clothing/region-items.blade.php","clothing","true","283","layouts/layoutMaster","0","6","0","0","1","1","true","select2","1","app/Http/Controllers/Backend/RegionClothingController.php","false"
"resources/views/backend/convenor/index-convenor.blade.php","convenor","true","80","layouts/layoutMaster","0","0","0","0","0","0","true","datatable;select2;toastr;flatpickr;sortable","1","app/Http/Controllers/Backend/ConvenorController.php","false"
"resources/views/backend/dashboard.blade.php","(root)","true","932","layouts/layoutMaster","1","0","2","15","1","2","true","datatable;select2;toastr;swal","6","app/Http/Controllers/Backend/DashboardController.php;app/Http/Controllers/Frontend/PlayerProfileController.php;routes/web.php;resources/views/backend/superadmin/index.blade.php;resources/views/frontend/player/create-profile.blade.php;resources/views/layouts/sections/navbar/navbar.blade.php","false"
"resources/views/backend/disciplinary/cases/create.blade.php","disciplinary","true","25","layouts/layoutMaster","0","0","0","0","0","0","true","","1","app/Http/Controllers/Backend/DisciplinaryCaseController.php","false"
