id,category_event_id,registration_id,status,refund_status,payfast_id,pf_transaction_id,refund_gross,created_at,risk_note
5932,585,5865,active,,,,,,"no payment dependency — safe to soft-delete"
5936,581,5869,active,,,,,,"no payment dependency — safe to soft-delete"
5939,585,5872,active,,,,,,"no payment dependency — safe to soft-delete"
5940,585,5873,active,,,,,,"no payment dependency — safe to soft-delete"
5941,579,5874,active,,,,,,"no payment dependency — safe to soft-delete"
5942,606,5875,active,,,,,,"no payment dependency — safe to soft-delete"
5943,606,5876,active,,,,,,"no payment dependency — safe to soft-delete"
5944,582,5877,active,,,,,,"no payment dependency — safe to soft-delete"
5945,584,5878,active,,,,,,"no payment dependency — safe to soft-delete"
5946,605,5879,active,,,,,,"no payment dependency — safe to soft-delete"
5947,580,5880,active,,,,,,"no payment dependency — safe to soft-delete"
5949,606,5882,active,,,,,,"no payment dependency — safe to soft-delete"
5950,606,5883,active,,,,,,"no payment dependency — safe to soft-delete"
5951,583,5884,active,,,,,,"no payment dependency — safe to soft-delete"
5952,579,5885,active,,,,,,"no payment dependency — safe to soft-delete"
5956,583,5889,active,,,,,,"no payment dependency — safe to soft-delete"
5957,579,5890,active,,,,,,"no payment dependency — safe to soft-delete"
5958,580,5891,active,,,,,,"no payment dependency — safe to soft-delete"
5959,579,5892,active,,,,,,"no payment dependency — safe to soft-delete"
5960,585,5893,active,,,,,,"no payment dependency — safe to soft-delete"
5961,580,5894,active,,,,,,"no payment dependency — safe to soft-delete"
5962,580,5895,active,,,,,,"no payment dependency — safe to soft-delete"
5963,606,5896,active,,,,,"2022-09-09 11:06:20","no payment dependency — safe to soft-delete"
5964,606,5897,active,,,,,"2022-09-09 11:07:34","no payment dependency — safe to soft-delete"
5965,606,5898,active,,,,,,"no payment dependency — safe to soft-delete"
5966,581,5899,active,,,,,,"no payment dependency — safe to soft-delete"
5967,606,5900,active,,,,,,"no payment dependency — safe to soft-delete"
5968,582,5901,active,,,,,,"no payment dependency — safe to soft-delete"
5970,605,5903,active,,,,,,"no payment dependency — safe to soft-delete"
5971,583,5904,active,,,,,,"no payment dependency — safe to soft-delete"
5972,606,5905,active,,,,,,"no payment dependency — safe to soft-delete"
5973,582,5906,active,,,,,,"no payment dependency — safe to soft-delete"
5974,580,5907,active,,,,,,"no payment dependency — safe to soft-delete"
5975,605,5908,active,,,,,,"no payment dependency — safe to soft-delete"
5977,605,5910,active,,,,,,"no payment dependency — safe to soft-delete"
5978,582,5911,active,,,,,,"no payment dependency — safe to soft-delete"
5979,585,5912,active,,,,,,"no payment dependency — safe to soft-delete"
5980,582,5913,active,,,,,,"no payment dependency — safe to soft-delete"
5981,586,5914,active,,,,,,"no payment dependency — safe to soft-delete"
5982,583,5915,active,,,,,,"no payment dependency — safe to soft-delete"
5983,606,5916,active,,,,,"2022-09-11 19:27:23","no payment dependency — safe to soft-delete"
5984,583,5917,active,,,,,"2022-09-11 19:32:23","no payment dependency — safe to soft-delete"
5988,586,5921,active,,,,,,"no payment dependency — safe to soft-delete"
5995,583,5928,active,,,,,"2022-09-13 23:06:52","no payment dependency — safe to soft-delete"
5996,605,5929,active,,,,,"2022-09-13 23:08:37","no payment dependency — safe to soft-delete"
5997,605,5930,active,,,,,"2022-09-13 23:09:17","no payment dependency — safe to soft-delete"
5998,581,5931,active,,,,,"2022-09-13 23:10:36","no payment dependency — safe to soft-delete"
6001,584,5934,active,,,,,"2022-09-15 00:38:44","no payment dependency — safe to soft-delete"
6002,586,5935,active,,,,,"2022-09-15 00:41:47","no payment dependency — safe to soft-delete"
6003,606,5936,active,,,,,"2022-09-15 00:52:26","no payment dependency — safe to soft-delete"
6004,606,5937,active,,,,,"2022-09-15 00:53:14","no payment dependency — safe to soft-delete"
6005,579,5938,active,,,,,"2022-09-15 00:53:53","no payment dependency — safe to soft-delete"
6006,586,5939,active,,,,,"2022-09-15 16:40:49","no payment dependency — safe to soft-delete"
7248,877,7181,active,,,,,"2023-03-13 14:45:36","no payment dependency — safe to soft-delete"
7927,584,7882,active,,,,,,"no payment dependency — safe to soft-delete"
7929,584,7883,active,,,,,,"no payment dependency — safe to soft-delete"
7931,584,7884,active,,,,,,"no payment dependency — safe to soft-delete"
7933,584,7885,active,,,,,,"no payment dependency — safe to soft-delete"
7935,584,7886,active,,,,,,"no payment dependency — safe to soft-delete"
7937,584,7887,active,,,,,,"no payment dependency — safe to soft-delete"
7939,584,7888,active,,,,,,"no payment dependency — safe to soft-delete"
7941,584,7889,active,,,,,,"no payment dependency — safe to soft-delete"
7943,584,7890,active,,,,,,"no payment dependency — safe to soft-delete"
7945,584,7891,active,,,,,,"no payment dependency — safe to soft-delete"
7947,584,7892,active,,,,,,"no payment dependency — safe to soft-delete"
7949,584,7893,active,,,,,,"no payment dependency — safe to soft-delete"
7951,584,7894,active,,,,,,"no payment dependency — safe to soft-delete"
7953,584,7895,active,,,,,,"no payment dependency — safe to soft-delete"
7955,584,7896,active,,,,,,"no payment dependency — safe to soft-delete"
7957,584,7897,active,,,,,,"no payment dependency — safe to soft-delete"
7959,584,7898,active,,,,,,"no payment dependency — safe to soft-delete"
7961,584,7899,active,,,,,,"no payment dependency — safe to soft-delete"
7963,584,7900,active,,,,,,"no payment dependency — safe to soft-delete"
7965,584,7902,active,,,,,,"no payment dependency — safe to soft-delete"
7968,584,7904,active,,,,,,"no payment dependency — safe to soft-delete"
7970,584,7905,active,,,,,,"no payment dependency — safe to soft-delete"
7972,584,7906,active,,,,,,"no payment dependency — safe to soft-delete"
7974,584,7907,active,,,,,,"no payment dependency — safe to soft-delete"
7976,584,7908,active,,,,,,"no payment dependency — safe to soft-delete"
7978,584,7909,active,,,,,,"no payment dependency — safe to soft-delete"
7981,584,7911,active,,,,,,"no payment dependency — safe to soft-delete"
7983,584,7912,active,,,,,,"no payment dependency — safe to soft-delete"
7994,584,7924,active,,,,,,"no payment dependency — safe to soft-delete"
8002,584,7933,active,,,,,,"no payment dependency — safe to soft-delete"
8004,584,7934,active,,,,,,"no payment dependency — safe to soft-delete"
8006,584,7935,active,,,,,,"no payment dependency — safe to soft-delete"
8010,584,7950,active,,,,,,"no payment dependency — safe to soft-delete"
8012,584,7951,active,,,,,,"no payment dependency — safe to soft-delete"
8033,584,7974,active,,,,,,"no payment dependency — safe to soft-delete"
8035,584,7975,active,,,,,,"no payment dependency — safe to soft-delete"
8042,584,7982,active,,,,,,"no payment dependency — safe to soft-delete"
8044,584,7983,active,,,,,,"no payment dependency — safe to soft-delete"
8046,584,7984,active,,,,,,"no payment dependency — safe to soft-delete"
8048,584,7985,active,,,,,,"no payment dependency — safe to soft-delete"
8067,585,8006,active,,,,,,"no payment dependency — safe to soft-delete"
8141,584,8117,active,,,,,,"no payment dependency — safe to soft-delete"
8143,584,8118,active,,,,,,"no payment dependency — safe to soft-delete"
8145,584,8120,active,,,,,,"no payment dependency — safe to soft-delete"
8266,584,8205,active,,,,,,"no payment dependency — safe to soft-delete"
8268,584,8206,active,,,,,,"no payment dependency — safe to soft-delete"
8272,584,8207,active,,,,,,"no payment dependency — safe to soft-delete"
8322,584,8223,active,,,,,,"no payment dependency — safe to soft-delete"
8324,584,8224,active,,,,,,"no payment dependency — safe to soft-delete"
8329,584,8225,active,,,,,,"no payment dependency — safe to soft-delete"
8331,584,8226,active,,,,,,"no payment dependency — safe to soft-delete"
8334,584,8227,active,,,,,,"no payment dependency — safe to soft-delete"
8336,584,8228,active,,,,,,"no payment dependency — safe to soft-delete"
8338,584,8229,active,,,,,,"no payment dependency — safe to soft-delete"
8340,584,8230,active,,,,,,"no payment dependency — safe to soft-delete"
8342,584,8231,active,,,,,,"no payment dependency — safe to soft-delete"
8344,584,8233,active,,,,,,"no payment dependency — safe to soft-delete"
8347,584,8234,active,,,,,,"no payment dependency — safe to soft-delete"
8349,584,8235,active,,,,,,"no payment dependency — safe to soft-delete"
8352,584,8236,active,,,,,,"no payment dependency — safe to soft-delete"
8355,584,8238,active,,,,,,"no payment dependency — safe to soft-delete"
