fixture_id,draw_id,match_status,round,stage,created_at,risk_note
2374,126,0,2,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2375,126,0,3,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2376,126,0,2,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2377,126,0,2,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2378,126,0,3,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2379,126,0,3,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2380,126,0,0,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2381,126,0,1,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2382,126,0,1,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2383,126,0,1,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2384,126,0,1,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2385,126,0,2,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2386,126,0,2,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2387,126,0,3,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2388,126,0,2,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2389,126,0,2,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2390,126,0,3,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2391,126,0,3,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2392,126,0,0,NULL,"2022-01-19 09:42:11","orphan — draw #126 no longer exists"
2209,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2210,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2211,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2212,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2213,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2214,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2215,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2216,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2217,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2218,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2219,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2220,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2221,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2222,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2223,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
